Class,Sensitivity,Specificity,Accuracy,MCC
0,0.9285714285714286,1.0,,
1,0.5833333333333334,0.8846153846153846,,
2,0.75,0.7692307692307693,,
Overall,,,0.7631578947368421,0.649223557852128
