Class,Sensitivity,Specificity,Accuracy,MCC
0,0.8571428571428571,1.0,,
1,0.75,0.8076923076923077,,
2,0.6666666666666666,0.8461538461538461,,
Overall,,,0.7631578947368421,0.6479166666666667
