Class,Sensitivity,Specificity,Accuracy,MCC
0,0.9285714285714286,0.875,,
1,0.5,0.6923076923076923,,
2,0.25,0.8076923076923077,,
Overall,,,0.5789473684210527,0.36869703009381566
