Class,Sensitivity,Specificity,Accuracy,MCC
0,1.0,1.0,,
1,0.5833333333333334,0.9615384615384616,,
2,0.9166666666666666,0.8076923076923077,,
Overall,,,0.8421052631578947,0.7755351322663019
