Class,Sensitivity,Specificity,Accuracy,MCC
0,0.8571428571428571,1.0,,
1,0.75,0.7307692307692307,,
2,0.5833333333333334,0.8846153846153846,,
Overall,,,0.7368421052631579,0.6134670389756931
