epoch,train_loss,train_acc,val_loss,val_acc
1,1.0817463778612906,0.417543860067401,1.100561499595642,0.3684210479259491
2,1.0522311106062772,0.4815789482049775,1.0887011289596558,0.3684210479259491
3,1.02515193746801,0.5526315758102819,1.0816117525100708,0.3947368562221527
4,0.9906639678436413,0.5807017558499387,1.0487096309661865,0.5526315569877625
5,0.9579312977037931,0.6043859624026114,0.9775672554969788,0.6578947305679321
6,0.9205954227531166,0.6403508759381479,0.9175081849098206,0.6842105388641357
7,0.9021408955256144,0.620175440269604,0.8740517497062683,0.6842105388641357
8,0.8585871570988706,0.6561403521320276,0.8356810808181763,0.7105263471603394
9,0.8282353568495365,0.6666666649935539,0.8026854991912842,0.7105263471603394
10,0.7922146539939078,0.6859649116532844,0.7721525430679321,0.7105263471603394
11,0.766973844954842,0.6921052614847819,0.745388388633728,0.6842105388641357
12,0.7440261681874593,0.6903508786569562,0.7236259579658508,0.7368420958518982
13,0.7163697533440172,0.698245614453366,0.7010719180107117,0.7368420958518982
14,0.7011344978683873,0.6964912291158709,0.6825254559516907,0.7631579041481018
15,0.6730426359594914,0.7078947370512444,0.665139377117157,0.7631579041481018
16,0.6467326956882812,0.7394736842105263,0.6497517824172974,0.7894737124443054
17,0.6393082392843146,0.7192982477054262,0.6396026611328125,0.7368420958518982
18,0.622755033300634,0.7394736819099962,0.6267626881599426,0.7894737124443054
19,0.6089267613594992,0.7412280693388822,0.6156923770904541,0.7894737124443054
20,0.5965500666384111,0.750877194864708,0.6047554016113281,0.7894737124443054
21,0.5875781757789745,0.7473684204252142,0.5959447622299194,0.7631579041481018
22,0.5862973623108445,0.7447368444057934,0.5878288149833679,0.7894737124443054
23,0.5781415023301777,0.7403508790752344,0.5791076421737671,0.7631579041481018
24,0.5634666969901637,0.7587719317068133,0.5697237253189087,0.7631579041481018
25,0.5469524513211167,0.7666666687580577,0.5640121698379517,0.7631579041481018
26,0.5359697338781859,0.7885964897640965,0.5647428631782532,0.7894737124443054
27,0.5338633008170546,0.7921052629487556,0.5502983927726746,0.7631579041481018
28,0.5316281726485804,0.7824561370046516,0.5441327691078186,0.7631579041481018
29,0.5187127391497294,0.7850877182525501,0.5415971279144287,0.7894737124443054
30,0.4993773264843121,0.8070175407225626,0.5364897847175598,0.8157894611358643
31,0.5041696393698977,0.7947368427326805,0.5299991965293884,0.8157894611358643
32,0.5027808741519325,0.784210527361485,0.5204769968986511,0.7894737124443054
33,0.48929349246777987,0.799999997908609,0.5154224038124084,0.7894737124443054
34,0.484197237407952,0.8087719285697268,0.5117323398590088,0.8157894611358643
35,0.48227273330353854,0.8035087725572418,0.5030952095985413,0.7631579041481018
36,0.4707510629244018,0.8201754400604649,0.4983968734741211,0.7894737124443054
37,0.45966422317320843,0.8184210543046918,0.4958859980106354,0.8157894611358643
38,0.4576389607630278,0.8254385973277845,0.4872143864631653,0.7894737124443054
39,0.44577083368050424,0.8184210503310488,0.48719730973243713,0.8421052694320679
