Class,Sensitivity,Specificity,Accuracy,MCC
0,0.8571428571428571,0.9583333333333334,,
1,0.5833333333333334,0.8076923076923077,,
2,0.6666666666666666,0.8076923076923077,,
Overall,,,0.7105263157894737,0.5660773095995991
